Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-3656532,"TGFBR1 KD Mutants in Cancer",4,6,4.131662305467566E-4,0.22006007885474033,0.9875736862473046,1,1,7.448234768359899E-5,9606,Homo sapiens,"ENSG00000106799;ENSG00000175387;ENSG00000157077;ENSG00000163513","","R-HSA-3656523"
R-HSA-381033,"ATF6 (ATF6-alpha) activates chaperones",9,17,0.0011706376532158104,0.24310348622892453,0.9875736862473046,10,10,7.448234768359899E-4,9606,Homo sapiens,"ENSG00000118217;ENSG00000166598;ENSG00000044574;ENSG00000213676;ENSG00000066136;ENSG00000012174;ENSG00000179218","","R-HSA-1791163;R-HSA-1791082;R-HSA-381158;R-HSA-420818;R-HSA-1791150;R-HSA-381026;R-HSA-381186;R-HSA-1791107;R-HSA-1791121;R-HSA-381135"
R-HSA-3301854,"Nuclear Pore Complex (NPC) Disassembly",20,42,0.0028921636138272964,0.24418699653271458,0.9875736862473046,2,2,1.4896469536719798E-4,9606,Homo sapiens,"ENSG00000110713;ENSG00000153201;ENSG00000108559;ENSG00000125450;ENSG00000047410;ENSG00000113569;ENSG00000196313;ENSG00000136243;ENSG00000157456;ENSG00000085415;ENSG00000163002;ENSG00000124789;ENSG00000119638;ENSG00000030066;ENSG00000102900;ENSG00000272391;ENSG00000095319;ENSG00000185823","","R-HSA-2990880;R-HSA-2990882"
R-HSA-381183,"ATF6 (ATF6-alpha) activates chaperone genes",8,15,0.0010329155763668916,0.2539880884921374,0.9875736862473046,5,5,3.7241173841799495E-4,9606,Homo sapiens,"ENSG00000166598;ENSG00000118217;ENSG00000044574;ENSG00000213676;ENSG00000066136;ENSG00000179218","","R-HSA-1791163;R-HSA-1791082;R-HSA-1791150;R-HSA-1791107;R-HSA-1791121"
R-HSA-3000178,"ECM proteoglycans",35,79,0.005440022035532296,0.29033426344322344,0.9875736862473046,20,23,0.0017130939967227767,9606,Homo sapiens,"ENSG00000149294;ENSG00000108821;ENSG00000130635;ENSG00000112769;ENSG00000132031;ENSG00000172752;ENSG00000139329;ENSG00000115414;ENSG00000041982;ENSG00000196569;ENSG00000173402;ENSG00000116147;ENSG00000135862;ENSG00000144668;ENSG00000187498;ENSG00000164692;ENSG00000120332;ENSG00000150093;ENSG00000091136;ENSG00000197565;ENSG00000138448;ENSG00000139219;ENSG00000206384;ENSG00000084636;ENSG00000106819;ENSG00000130287;ENSG00000204262;ENSG00000113140;ENSG00000038427;ENSG00000188153;ENSG00000168542;ENSG00000182492;ENSG00000163359;ENSG00000145681;ENSG00000092758;ENSG00000011465","","R-HSA-2467716;R-HSA-2426471;R-HSA-4086204;R-HSA-4086200;R-HSA-2327909;R-HSA-4086132;R-HSA-2681667;R-HSA-2327886;R-HSA-2467659;R-HSA-2396395;R-HSA-2424246;R-HSA-2396370;R-HSA-2424243;R-HSA-2396124;R-HSA-2424252;R-HSA-2681681;R-HSA-2466238;R-HSA-2318623;R-HSA-2465883;R-HSA-2466106"
R-HSA-3304351,"Signaling by TGF-beta Receptor Complex in Cancer",5,9,6.19749345820135E-4,0.2919026929129067,0.9875736862473046,7,7,5.213764337851929E-4,9606,Homo sapiens,"ENSG00000106799;ENSG00000088832;ENSG00000175387;ENSG00000157077;ENSG00000163513","","R-HSA-3645780;R-HSA-3311014;R-HSA-3304394;R-HSA-3656382;R-HSA-3315483;R-HSA-3656523;R-HSA-3642203"
R-HSA-8939256,"RUNX1 regulates transcription of genes involved in WNT signaling",5,9,6.19749345820135E-4,0.2919026929129067,0.9875736862473046,4,4,2.9792939073439596E-4,9606,Homo sapiens,"ENSG00000128573;ENSG00000146374;ENSG00000067955;ENSG00000159216","","R-HSA-8877879;R-HSA-8932076;R-HSA-8877884;R-HSA-8932084"
R-HSA-3595172,"Defective CHST3 causes SEDCJD",5,9,6.19749345820135E-4,0.2919026929129067,0.9875736862473046,1,1,7.448234768359899E-5,9606,Homo sapiens,"ENSG00000038427;ENSG00000182492;ENSG00000114646;ENSG00000011465;ENSG00000130287","","R-HSA-3595175"
R-HSA-3595174,"Defective CHST14 causes EDS, musculocontractural type",5,9,6.19749345820135E-4,0.2919026929129067,0.9875736862473046,1,1,7.448234768359899E-5,9606,Homo sapiens,"ENSG00000038427;ENSG00000182492;ENSG00000114646;ENSG00000011465;ENSG00000130287","","R-HSA-3636919"
R-HSA-4085377,"SUMOylation of SUMOylation proteins",18,39,0.002685580498553918,0.3003064150138539,0.9875736862473046,2,5,3.7241173841799495E-4,9606,Homo sapiens,"ENSG00000110713;ENSG00000153201;ENSG00000108559;ENSG00000125450;ENSG00000047410;ENSG00000113569;ENSG00000196313;ENSG00000136243;ENSG00000085415;ENSG00000163002;ENSG00000124789;ENSG00000030066;ENSG00000102900;ENSG00000272391;ENSG00000095319;ENSG00000185823","","R-HSA-4551649;R-HSA-4551679"
R-HSA-8939247,"RUNX1 regulates transcription of genes involved in interleukin signaling",4,7,4.8202726897121607E-4,0.3065718821964599,0.9875736862473046,5,5,3.7241173841799495E-4,9606,Homo sapiens,"ENSG00000067955;ENSG00000159216;ENSG00000113594","","R-HSA-8938938;R-HSA-8934688;R-HSA-8938913;R-HSA-8934690;R-HSA-8938981"
R-HSA-8866376,"Reelin signalling pathway",4,7,4.8202726897121607E-4,0.3065718821964599,0.9875736862473046,4,4,2.9792939073439596E-4,9606,Homo sapiens,"ENSG00000173406;ENSG00000147010;ENSG00000010810;ENSG00000147852","","R-HSA-8855237;R-HSA-8854466;R-HSA-8855232;R-HSA-8855259"
R-HSA-9032759,"NTRK2 activates RAC1",4,7,4.8202726897121607E-4,0.3065718821964599,0.9875736862473046,2,2,1.4896469536719798E-4,9606,Homo sapiens,"ENSG00000088538;ENSG00000176697;ENSG00000148053;ENSG00000010810","","R-HSA-9032761;R-HSA-9032798"
R-HSA-3304356,"SMAD2/3 Phosphorylation Motif Mutants in Cancer",4,7,4.8202726897121607E-4,0.3065718821964599,0.9875736862473046,1,1,7.448234768359899E-5,9606,Homo sapiens,"ENSG00000106799;ENSG00000175387;ENSG00000157077;ENSG00000163513","","R-HSA-3304394"
R-HSA-8875791,"MET activates STAT3",3,5,3.4430519212229723E-4,0.32203729481681376,0.9875736862473046,4,4,2.9792939073439596E-4,9606,Homo sapiens,"ENSG00000168610;ENSG00000105976;ENSG00000019991","","R-HSA-2730595;R-HSA-8875817;R-HSA-2730599;R-HSA-8875816"
R-HSA-8875513,"MET interacts with TNS proteins",3,5,3.4430519212229723E-4,0.32203729481681376,0.9875736862473046,2,2,1.4896469536719798E-4,9606,Homo sapiens,"ENSG00000105976;ENSG00000150093;ENSG00000019991","","R-HSA-8875523;R-HSA-8875531"
R-HSA-8941237,"Invadopodia formation",3,5,3.4430519212229723E-4,0.32203729481681376,0.9875736862473046,1,1,7.448234768359899E-5,9606,Homo sapiens,"ENSG00000148848;ENSG00000135074;ENSG00000107957","","R-HSA-8941234"
R-HSA-9702506,"Drug resistance of FLT3 mutants",1,1,6.886103842445945E-5,0.3290518768820474,0.9875736862473046,14,14,0.0010427528675703858,9606,Homo sapiens,"ENSG00000122025","","R-HSA-9702613;R-HSA-9702997;R-HSA-9702583;R-HSA-9702578;R-HSA-9702589;R-HSA-9702623;R-HSA-9702618;R-HSA-9702629;R-HSA-9703008;R-HSA-9702593;R-HSA-9702638;R-HSA-9702607;R-HSA-9702601;R-HSA-9702570"
R-HSA-9674415,"Drug resistance of PDGFR mutants",1,1,6.886103842445945E-5,0.3290518768820474,0.9875736862473046,4,4,2.9792939073439596E-4,9606,Homo sapiens,"ENSG00000134853","","R-HSA-9674408;R-HSA-9674398;R-HSA-9674414;R-HSA-9674397"
R-HSA-9674428,"PDGFR mutants bind TKIs",1,1,6.886103842445945E-5,0.3290518768820474,0.9875736862473046,2,2,1.4896469536719798E-4,9606,Homo sapiens,"ENSG00000134853","","R-HSA-9674427;R-HSA-9674430"
R-HSA-9672387,"Defective F8 accelerates dissociation of the A2 domain",1,1,6.886103842445945E-5,0.3290518768820474,0.9875736862473046,2,2,1.4896469536719798E-4,9606,Homo sapiens,"ENSG00000185010","","R-HSA-9670049;R-HSA-9670054"
R-HSA-9702509,"FLT3 mutants bind TKIs",1,1,6.886103842445945E-5,0.3290518768820474,0.9875736862473046,2,2,1.4896469536719798E-4,9606,Homo sapiens,"ENSG00000122025","","R-HSA-9702508;R-HSA-9702510"
R-HSA-9674396,"Imatinib-resistant PDGFR mutants",1,1,6.886103842445945E-5,0.3290518768820474,0.9875736862473046,1,1,7.448234768359899E-5,9606,Homo sapiens,"ENSG00000134853","","R-HSA-9674397"
R-HSA-9702605,"pexidartinib-resistant FLT3 mutants",1,1,6.886103842445945E-5,0.3290518768820474,0.9875736862473046,1,1,7.448234768359899E-5,9606,Homo sapiens,"ENSG00000122025","","R-HSA-9702607"
R-HSA-9702600,"midostaurin-resistant FLT3 mutants",1,1,6.886103842445945E-5,0.3290518768820474,0.9875736862473046,1,1,7.448234768359899E-5,9606,Homo sapiens,"ENSG00000122025","","R-HSA-9702601"
R-HSA-9656255,"Defective OGG1 Substrate Binding",1,1,6.886103842445945E-5,0.3290518768820474,0.9875736862473046,1,1,7.448234768359899E-5,9606,Homo sapiens,"ENSG00000114026","","R-HSA-9656254"
R-HSA-9674401,"Sunitinib-resistant PDGFR mutants",1,1,6.886103842445945E-5,0.3290518768820474,0.9875736862473046,1,1,7.448234768359899E-5,9606,Homo sapiens,"ENSG00000134853","","R-HSA-9674398"
R-HSA-163316,"Mitochondrial transcription termination",1,1,6.886103842445945E-5,0.3290518768820474,0.9875736862473046,1,1,7.448234768359899E-5,9606,Homo sapiens,"ENSG00000127989","","R-HSA-163320"
R-HSA-5467333,"APC truncation mutants are not K63 polyubiquitinated",1,1,6.886103842445945E-5,0.3290518768820474,0.9875736862473046,1,1,7.448234768359899E-5,9606,Homo sapiens,"ENSG00000134982","","R-HSA-5246696"
R-HSA-9702636,"tandutinib-resistant FLT3 mutants",1,1,6.886103842445945E-5,0.3290518768820474,0.9875736862473046,1,1,7.448234768359899E-5,9606,Homo sapiens,"ENSG00000122025","","R-HSA-9702638"
R-HSA-9702569,"KW2449-resistant FLT3 mutants",1,1,6.886103842445945E-5,0.3290518768820474,0.9875736862473046,1,1,7.448234768359899E-5,9606,Homo sapiens,"ENSG00000122025","","R-HSA-9702570"
R-HSA-5467343,"Deletions in the AMER1 gene destabilize the destruction complex",1,1,6.886103842445945E-5,0.3290518768820474,0.9875736862473046,1,1,7.448234768359899E-5,9606,Homo sapiens,"ENSG00000184675","","R-HSA-5251559"
R-HSA-9674403,"Regorafenib-resistant PDGFR mutants",1,1,6.886103842445945E-5,0.3290518768820474,0.9875736862473046,1,1,7.448234768359899E-5,9606,Homo sapiens,"ENSG00000134853","","R-HSA-9674408"
R-HSA-9672395,"Defective F8 binding to the cell membrane",1,1,6.886103842445945E-5,0.3290518768820474,0.9875736862473046,1,1,7.448234768359899E-5,9606,Homo sapiens,"ENSG00000185010","","R-HSA-9670189"
R-HSA-9672397,"Defective F8 secretion",1,1,6.886103842445945E-5,0.3290518768820474,0.9875736862473046,1,1,7.448234768359899E-5,9606,Homo sapiens,"ENSG00000185010","","R-HSA-9661980"
R-HSA-9702596,"lestaurtinib-resistant FLT3 mutants",1,1,6.886103842445945E-5,0.3290518768820474,0.9875736862473046,1,1,7.448234768359899E-5,9606,Homo sapiens,"ENSG00000122025","","R-HSA-9702593"
R-HSA-9674404,"Sorafenib-resistant PDGFR mutants",1,1,6.886103842445945E-5,0.3290518768820474,0.9875736862473046,1,1,7.448234768359899E-5,9606,Homo sapiens,"ENSG00000134853","","R-HSA-9674414"
R-HSA-9702624,"sorafenib-resistant FLT3 mutants",1,1,6.886103842445945E-5,0.3290518768820474,0.9875736862473046,1,1,7.448234768359899E-5,9606,Homo sapiens,"ENSG00000122025","","R-HSA-9702623"
R-HSA-9702590,"gilteritinib-resistant FLT3 mutants",1,1,6.886103842445945E-5,0.3290518768820474,0.9875736862473046,1,1,7.448234768359899E-5,9606,Homo sapiens,"ENSG00000122025","","R-HSA-9702589"
R-HSA-9702614,"ponatinib-resistant FLT3 mutants",1,1,6.886103842445945E-5,0.3290518768820474,0.9875736862473046,1,1,7.448234768359899E-5,9606,Homo sapiens,"ENSG00000122025","","R-HSA-9702613"
R-HSA-9702620,"quizartinib-resistant FLT3 mutants",1,1,6.886103842445945E-5,0.3290518768820474,0.9875736862473046,1,1,7.448234768359899E-5,9606,Homo sapiens,"ENSG00000122025","","R-HSA-9702618"
R-HSA-9702577,"semaxanib-resistant FLT3 mutants",1,1,6.886103842445945E-5,0.3290518768820474,0.9875736862473046,1,1,7.448234768359899E-5,9606,Homo sapiens,"ENSG00000122025","","R-HSA-9702578"
R-HSA-9703009,"tamatinib-resistant FLT3 mutants",1,1,6.886103842445945E-5,0.3290518768820474,0.9875736862473046,1,1,7.448234768359899E-5,9606,Homo sapiens,"ENSG00000122025","","R-HSA-9703008"
R-HSA-5602410,"TLR3 deficiency - HSE",1,1,6.886103842445945E-5,0.3290518768820474,0.9875736862473046,1,1,7.448234768359899E-5,9606,Homo sapiens,"ENSG00000188993","","R-HSA-5602549"
R-HSA-9661070,"Defective translocation of RB1 mutants to the nucleus",1,1,6.886103842445945E-5,0.3290518768820474,0.9875736862473046,1,1,7.448234768359899E-5,9606,Homo sapiens,"ENSG00000139687","","R-HSA-9660615"
R-HSA-9702632,"sunitinib-resistant FLT3 mutants",1,1,6.886103842445945E-5,0.3290518768820474,0.9875736862473046,1,1,7.448234768359899E-5,9606,Homo sapiens,"ENSG00000122025","","R-HSA-9702629"
R-HSA-9657050,"Defective OGG1 Localization",1,1,6.886103842445945E-5,0.3290518768820474,0.9875736862473046,1,1,7.448234768359899E-5,9606,Homo sapiens,"ENSG00000114026","","R-HSA-9657051"
R-HSA-9702998,"linifanib-resistant FLT3 mutants",1,1,6.886103842445945E-5,0.3290518768820474,0.9875736862473046,1,1,7.448234768359899E-5,9606,Homo sapiens,"ENSG00000122025","","R-HSA-9702997"
R-HSA-9702581,"crenolanib-resistant FLT3 mutants",1,1,6.886103842445945E-5,0.3290518768820474,0.9875736862473046,1,1,7.448234768359899E-5,9606,Homo sapiens,"ENSG00000122025","","R-HSA-9702583"
R-HSA-9656249,"Defective Base Excision Repair Associated with OGG1",2,3,2.065831152733783E-4,0.3363494632730355,0.9875736862473046,5,5,3.7241173841799495E-4,9606,Homo sapiens,"ENSG00000114026","","R-HSA-9657051;R-HSA-9656250;R-HSA-9656254;R-HSA-9658813;R-HSA-9656252"
R-HSA-352238,"Breakdown of the nuclear lamina",2,3,2.065831152733783E-4,0.3363494632730355,0.9875736862473046,3,3,2.2344704305079697E-4,9606,Homo sapiens,"ENSG00000138794;ENSG00000160789","","R-HSA-264871;R-HSA-9029690;R-HSA-264865"
R-HSA-190827,"Transport of connexins along the secretory pathway",2,3,2.065831152733783E-4,0.3363494632730355,0.9875736862473046,2,2,1.4896469536719798E-4,9606,Homo sapiens,"ENSG00000165474;ENSG00000152661","","R-HSA-190698;R-HSA-190686"
R-HSA-5339700,"Signaling by TCF7L2 mutants",2,3,2.065831152733783E-4,0.3363494632730355,0.9875736862473046,1,1,7.448234768359899E-5,9606,Homo sapiens,"ENSG00000148737;ENSG00000175029","","R-HSA-5334052"
R-HSA-190704,"Oligomerization of connexins into connexons",2,3,2.065831152733783E-4,0.3363494632730355,0.9875736862473046,2,3,2.2344704305079697E-4,9606,Homo sapiens,"ENSG00000165474;ENSG00000152661","","R-HSA-190662;R-HSA-190687"
R-HSA-170822,"Regulation of Glucokinase by Glucokinase Regulatory Protein",18,40,0.002754441536978378,0.33697759377238734,0.9875736862473046,1,5,3.7241173841799495E-4,9606,Homo sapiens,"ENSG00000110713;ENSG00000153201;ENSG00000108559;ENSG00000125450;ENSG00000047410;ENSG00000113569;ENSG00000196313;ENSG00000136243;ENSG00000085415;ENSG00000163002;ENSG00000124789;ENSG00000030066;ENSG00000102900;ENSG00000272391;ENSG00000095319;ENSG00000185823","","R-HSA-170796"
R-HSA-8875878,"MET promotes cell motility",20,45,0.0030987467291006747,0.34515330685859236,0.9875736862473046,12,12,8.937881722031879E-4,9606,Homo sapiens,"ENSG00000177885;ENSG00000108821;ENSG00000150093;ENSG00000130635;ENSG00000105976;ENSG00000112769;ENSG00000091136;ENSG00000019991;ENSG00000060718;ENSG00000139219;ENSG00000167193;ENSG00000115414;ENSG00000196569;ENSG00000204262;ENSG00000135862;ENSG00000116641;ENSG00000168542;ENSG00000204248;ENSG00000164692;ENSG00000107263","","R-HSA-8875591;R-HSA-8875558;R-HSA-8875540;R-HSA-8874083;R-HSA-8875523;R-HSA-8874082;R-HSA-8875568;R-HSA-8874080;R-HSA-8874079;R-HSA-8874078;R-HSA-8875531;R-HSA-8875576"
R-HSA-4615885,"SUMOylation of DNA replication proteins",22,50,0.003443051921222972,0.35213459093255506,0.9875736862473046,5,8,5.958587814687919E-4,9606,Homo sapiens,"ENSG00000110713;ENSG00000153201;ENSG00000108559;ENSG00000132646;ENSG00000125450;ENSG00000047410;ENSG00000113569;ENSG00000196313;ENSG00000136243;ENSG00000198900;ENSG00000077097;ENSG00000085415;ENSG00000163002;ENSG00000124789;ENSG00000030066;ENSG00000102900;ENSG00000272391;ENSG00000095319;ENSG00000089685;ENSG00000185823","","R-HSA-4615910;R-HSA-5228525;R-HSA-4641362;R-HSA-4641345;R-HSA-4655355"
R-HSA-4411364,"Binding of TCF/LEF:CTNNB1 to target gene promoters",5,10,6.886103842445945E-4,0.3693058882091431,0.9875736862473046,4,4,2.9792939073439596E-4,9606,Homo sapiens,"ENSG00000148737;ENSG00000168036;ENSG00000138795;ENSG00000168646","","R-HSA-4411351;R-HSA-4411367;R-HSA-4411357;R-HSA-4411372"
R-HSA-180746,"Nuclear import of Rev protein",18,41,0.002823302575402837,0.37461894380620275,0.9875736862473046,2,7,5.213764337851929E-4,9606,Homo sapiens,"ENSG00000110713;ENSG00000153201;ENSG00000108559;ENSG00000125450;ENSG00000047410;ENSG00000113569;ENSG00000196313;ENSG00000136243;ENSG00000085415;ENSG00000163002;ENSG00000124789;ENSG00000030066;ENSG00000102900;ENSG00000272391;ENSG00000095319;ENSG00000185823","","R-HSA-180710;R-HSA-180732"
R-HSA-159231,"Transport of Mature mRNA Derived from an Intronless Transcript",20,46,0.0031676077675251344,0.3808594705839482,0.9875736862473046,3,3,2.2344704305079697E-4,9606,Homo sapiens,"ENSG00000110713;ENSG00000153201;ENSG00000108559;ENSG00000125450;ENSG00000047410;ENSG00000113569;ENSG00000136937;ENSG00000196313;ENSG00000136243;ENSG00000085415;ENSG00000163002;ENSG00000124789;ENSG00000030066;ENSG00000102900;ENSG00000272391;ENSG00000095319;ENSG00000183684;ENSG00000185823","","R-HSA-158441;R-HSA-77594;R-HSA-158447"
